id,customerName,poNo,product,cost,sourcePage
PRI-0001,Advanced Waste Water System,0,HF3038 (IBC),"$1,985.00",1
PRI-0002,Advantage Engineering,0,HF558 (20L),$420.00,1
PRI-0003,Advantage Engineering,0,HF628 (20L),$120.00,1
PRI-0004,Agri Exchange - Sunraysia Citrus Pack House,0,HF 125 10Kg,$189.00,1
PRI-0005,Air Liquide Australia Ltd - Botany Industrial P,0,Demin / RO Water,$535.00,1
PRI-0006,Air Liquide Australia Ltd - Botany Industrial P,0,HF655 (15L),$558.00,1
PRI-0007,Air Liquide Australia Ltd - Elizabeth,0,Softener salt 15KG,$9.80,1
PRI-0008,Air Liquide Australia Ltd - Sunshine North,0,HF 845 (20 L),$137.00,1
PRI-0009,Air Liquide Australia Ltd - Wacol,AUALA00265170,HF 558 - 20KG,$396.00,1
PRI-0010,Air Liquide Australia Ltd - Wacol,AUALA00265170,Softener salt 25KG,$28.00,1
PRI-0011,Airdinkum - Newcrest Mining,0,HF 133 (L),$9.80,1
PRI-0012,Airdinkum - Newcrest Mining,0,HF 558 (20L),$388.00,1
PRI-0013,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 133 (20 L),$226.00,2
PRI-0014,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 305 (20 L),$122.00,2
PRI-0015,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 307 (20 L),$122.00,2
PRI-0016,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 510 (15 L),$117.00,2
PRI-0017,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 510 (20 L),$156.00,2
PRI-0018,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 532 (20 L),$196.00,2
PRI-0019,Amcor Flexibles Australia - 15-31 Keys Road,0,HF 558 (20 L),$448.00,2
PRI-0020,Amcor Flexibles Australia - 15-31 Keys Road,0,HF198 (15 L),$118.00,2
PRI-0021,Amcor Flexibles Australia - 83-99 Keys Road,0,HF 133 15L,$225.00,2
PRI-0022,Amcor Flexibles Australia - 83-99 Keys Road,0,HF 558 15L,$360.00,2
PRI-0023,Amcor Flexibles Australia - 83-99 Keys Road,0,HF510 15L,$285.00,2
PRI-0024,AMR Hewitts Print Packaging,0,HF 558 (20L),$398.00,2
PRI-0025,Andrew Kohn Pty Ltd,,HF 195 (15L),$95.00,2
PRI-0026,Andrew Kohn Pty Ltd,0,Bleed solenoid valve,$178.00,2
PRI-0027,Andrew Kohn Pty Ltd,0,HF 133 (15L),$210.00,2
PRI-0028,Andrew Kohn Pty Ltd,0,HF 198 (15L),$118.00,2
PRI-0029,Andrew Kohn Pty Ltd,0,HF 307 (15L),$145.00,2
PRI-0030,Andrew Kohn Pty Ltd,0,HF 510 (15L),$330.00,2
PRI-0031,Andrew Kohn Pty Ltd,0,HF 558 (20L),$460.00,2
PRI-0032,ANSTO - Australian Synchrotron,0,HF 322 (20L),$0.00,2
PRI-0033,ANSTO - Australian Synchrotron,0,HF 510 (15L),$186.00,2
PRI-0034,ANSTO - Australian Synchrotron,0,HF 558 (20L),$440.00,2
PRI-0035,ANSTO - Australian Synchrotron,0,HF 559 (20L),$498.00,2
PRI-0036,Applied Air Conditioning Servicing - Subaru (H,,Corrosion Coupon Rack,$448.00,3
PRI-0037,Applied Air Conditioning Servicing - Subaru (H,,Coupon Holder,$72.00,3
